"Sample_ID","depth_mid_cm","age_ka_bp","age_ka_bp_q025","age_ka_bp_q16","age_ka_bp_q84","age_ka_bp_q975","nalk_C29_d2H_permille","nalk_C29_d2H_sd","nalk_C27_conc_ug_g_dw","nalk_C29_conc_ug_g_dw","nalk_C31_conc_ug_g_dw","nalk_C33_conc_ug_g_dw","CPI_C23_33"
"EX-001",28.7,0.116,0.0527,0.0837,0.1484,0.1794,-177.7,2.24,3.875,4.262,0.944,0.508,2.81
"EX-002",29.6,0.1728,0.1072,0.1394,0.2063,0.2384,-170.3,1.48,6.249,6.341,1.091,0.587,8.56
"EX-003",25.4,0.1795,0.1137,0.1459,0.2131,0.2453,-182,0.98,1.525,1.751,0.432,0.232,7.27
"EX-004",36,0.3165,0.2453,0.2802,0.3528,0.3877,-174.7,0.91,1.755,1.824,0.342,0.184,3.48
"EX-005",32.5,0.3317,0.2599,0.295,0.3683,0.4035,-174.3,2.42,4.448,4.65,0.887,,5.79
"EX-006",36.2,0.4368,0.3608,0.398,0.4755,0.5127,-172.7,1.47,5.706,5.905,1.089,0.586,4.12
"EX-007",47.7,0.5639,0.483,0.5226,0.6052,0.6448,-174.3,0.97,5.769,6.08,1.19,0.641,4
"EX-008",48.6,0.715,0.6282,0.6707,0.7593,0.8018,-175,1.84,1.665,1.83,0.405,0.218,7.18
"EX-009",62.4,0.9223,0.8274,0.8739,0.9708,1.0173,-173,,3.448,3.974,0.987,0.532,6.45
"EX-010",71.4,1.1982,1.0925,1.1443,1.2522,1.304,-171.5,1.38,4.702,5.191,1.161,0.625,6.94
"EX-011",78.8,1.2123,1.1059,1.158,1.2665,1.3186,-173.9,1.4,2.351,2.652,0.627,0.337,2.7
"EX-012",111.1,1.9771,1.8408,1.9075,2.0466,2.1134,-182.3,1.94,2.553,2.867,0.67,0.361,8.09
"EX-013",107.8,1.9779,1.8415,1.9083,2.0474,2.1142,-178.1,1.66,4.971,5.944,1.599,0.861,8.88
"EX-014",119.7,2.1614,2.0179,2.0882,2.2346,2.3049,-181.7,0.74,1.907,2.384,0.698,0.376,2.69
"EX-015",131.5,2.4499,2.295,2.3709,2.5289,2.6047,-176.9,0.99,4.213,4.493,0.912,0.491,2.56
"EX-016",132.9,2.5859,2.4257,2.5041,2.6676,2.746,-177.5,2.33,2.223,2.668,0.723,0.389,7.91
"EX-017",145.2,2.7952,2.6269,2.7093,2.8811,2.9636,-183.3,0.81,4.729,5.655,1.52,0.819,6.58
"EX-018",148.6,2.9206,2.7473,2.8322,3.009,3.0939,-180.8,1.18,5.554,6.069,1.321,,4.53
"EX-019",165.2,3.1971,3.013,3.1031,3.291,3.3812,-179,1,4.001,4.41,0.982,0.529,5.17
"EX-020",162.8,3.2163,3.0315,3.122,3.3107,3.4012,-174.6,1.87,6.015,5.971,0.942,0.507,5.32
"EX-021",166.4,3.2677,3.0808,3.1724,3.3631,3.4546,-179.7,2.24,4.736,5.105,1.069,0.576,3.27
"EX-022",173,3.4835,3.2882,3.3838,3.5832,3.6789,-176.8,1.44,4.155,4.244,0.748,0.403,3.36
"EX-023",193.9,3.9287,3.7159,3.8201,4.0373,4.1415,-177.1,0.54,5.972,6.044,1.029,0.554,6.59
"EX-024",202.5,4.0472,3.8297,3.9362,4.1581,4.2646,-175.3,1.64,3.843,3.978,0.734,0.395,3.26
"EX-025",201.4,4.0988,3.8793,3.9868,4.2107,4.3182,-180.2,0.54,4.915,5.175,1.01,0.544,4.72
"EX-026",215.7,4.3588,4.1292,4.2417,4.476,4.5885,-175.2,2.19,2.228,2.233,0.366,0.197,7.19
"EX-027",231,4.6769,4.4347,4.5533,4.8004,4.919,,0.7,4.237,4.702,1.067,0.574,8.59
"EX-028",231,4.7021,4.459,4.578,4.8261,4.9452,-171.5,0.92,1.958,2.002,0.354,0.191,6.37
"EX-029",238.8,4.8812,4.6311,4.7536,5.0089,5.1314,-171.8,2.22,2.818,2.8,0.443,0.238,3.38
"EX-030",243.1,5.0741,4.8164,4.9426,5.2056,5.3318,-169.3,1.15,2.488,2.541,0.447,0.241,4.73
"EX-031",264.6,5.4529,5.1803,5.3138,5.5919,5.7254,-174.9,2.13,4.988,5.052,0.862,0.464,8.41
"EX-032",266.7,5.603,5.3246,5.4609,5.7451,5.8814,-171.2,1.12,6.027,5.922,0.894,0.481,4.63
"EX-033",276.6,5.6258,5.3465,5.4833,5.7684,5.9052,-169.4,,3.089,3.229,0.615,0.331,7.11
"EX-034",278.3,5.806,5.5196,5.6598,5.9521,6.0924,-170.7,0.75,3.852,4.14,0.859,0.463,7.66
"EX-035",287,5.9236,5.6326,5.7751,6.0721,6.2146,-176.4,1.54,5.983,6.33,1.254,0.675,3.44
"EX-036",291.5,5.9978,5.7039,5.8479,6.1478,6.2917,-177.1,2.01,4.623,4.912,0.986,0.531,8.49
"EX-037",294,6.0875,5.7901,5.9358,6.2393,6.3849,-175.3,1.97,4.383,4.644,0.924,0.498,5.26
"EX-038",303.2,6.2038,5.9018,6.0497,6.3579,6.5058,-178.8,0.61,2.447,2.687,0.593,0.319,8.39
"EX-039",302.4,6.3323,6.0252,6.1756,6.4889,6.6393,-168.7,1.87,2.574,2.62,0.455,0.245,3.68
